given_name,family_name,date_of_birth,place_of_birth
njk,Williams,1842-09-30,njk
Édouard,Jeffery,1899-06-14,njk
Éric,Molnar,11/1/1982,njk
东,Doyle,1883-04-02,njk
Edith,Styles,1879-07-24,Ballymoney
John,Brown,1892-09-05,Kilmarnock
Jose,Barth,8/13/1942,Newtownards
Leonard,Beetham,1897-05-25,Enniskillen
Christopher,Cash,9/23/1977,Stirling
Amos,Rogerson,9/12/1914,Jedburgh
Susan,Helm,4/3/1955,Dromore
Philip,Venters,5/31/1958,Elgin
Margaret,Hyam,5/26/1945,Lerwick
Colin,Hutchinson,4/14/1946,Castle Douglas
Albert,Clements,7/15/1914,West Calder
Robert,Bentham,1863-02-03,Glasgow
Steven,Humphreys,1/3/1980,Dalbeattie
Sidney,Chandler,1884-04-14,Musselburgh
Josephine,Hetherington,1850-09-23,Port Glasgow
Edith,Hopkins,1878-06-25,Peebles
Elizabeth,Shaw,1878-11-03,Paisley
Mary,Mclaughlan,1883-04-15,Dufftown
Thirza,Jones,7/1/1925,Langholm
Ronald,Joynson,4/18/1950,Buckie
Sheila,Denton,4/29/1925,Stranraer
Mabel,Penney,4/26/1914,Selkirk
Nancy,Norman,11/7/1918,Lockerbie
Jonathan,Wallis,8/30/1970,Kirkcaldy
Mary,Ghillyer,6/16/1936,Thurso
George,Bennett,1870-05-01,Kelso
Gicomo,Ferrara,5/3/1960,Strabane
Frederic,Lewis,1892-12-29,Newtownards
William,Bottomley,7/12/1920,Haddington
Minnie,Allen,7/26/1910,Elgin
Susan,Ham,10/28/1950,Newtownards
Michael,Edwards,7/24/1948,Bellshill
Nicholas,Rother,8/28/1973,Brechin
John,O'doherty,1/7/1936,Hamilton
Ellen,Hawking,1872-08-23,Jedburgh
Shana,Bond,1/8/1974,Nairn
Philip,Barnes,9/25/1901,Golspie
Ada,Woodman,1867-12-07,Wick
John,Bradley,1850-02-17,Airdrie
Walter,Wood,1867-04-15,St Andrews
Sidney,Johnson,2/23/1903,Nairn
Anthony,Holmes,3/30/1968,Keith
Caroline,Mitchell,1860-06-29,Armagh
Nancy,Julien,11/9/1909,Kirkcaldy
Susan,Graham,9/2/1954,Stirling
Pauline,O'ven,6/6/1947,Linlithgow
William,Kingdon,1890-05-04,Milngavie
Jack,Stell,1897-02-03,Montrose
Rosina,Browning,1893-04-29,Musselburgh
Michael,Sparrow,8/7/1954,Dingwall
Alice,Peake,10/28/1915,Stonehaven
John,Blake,1891-07-04,Carrickfergus
Susan,Brazil,6/3/1956,Jedburgh
Thomas,Cain,9/30/1926,Stonehaven
Fanny,Drury,1880-06-28,Belfast
Anita,Sutton,8/5/1966,West Calder
Michelle,Dawes,12/11/1977,Grantown-on-Spey
Robert,Burke,3/12/1941,Milngavie
William,Yuille,6/14/1908,Stornoway
Brian,Bowron,5/14/1937,Lerwick
Jacob,Mountford,1875-11-07,Aberdeen
Thomas,Pope,4/21/1923,Kinross
Dorothy,Burkill,3/1/1948,Port Glasgow
Anthony,Hayes,12/27/1964,Wick
Giles,Lyon,5/14/1965,Falkirk
Gwilym,Evans,9/4/1935,Barrhead
Naomi,Appleyard,5/11/1981,Alloa
Florence,Portsmouth,2/1/1909,Banff
William,Phillips,1878-11-20,Forres
Louise,Rapson,9/21/1968,Dundee
Donald,Waring,10/1/1927,Dungannon
James,Alleyne,8/23/1983,Stornoway
William,Allsop,1879-06-29,Dalkeith
Florence,Baldwin,1893-10-27,Invergordon
Mary,Squire,1851-10-12,Omagh
Jean,Ross,1/24/1918,Peebles
Sidney,Crofts,4/28/1934,Coatbridge
Edgar,Becker,1870-09-24,Annan
Frederick,Campsill,1881-07-10,Thurso
Alice,Withnall,1844-02-19,St Andrews
George,Jones,1852-03-07,Rothesay
Thomas,Gannon,6/15/1903,Galashiels
Beatrice,Hickman,1894-06-25,Dromore
Susan,Ward,9/9/1963,Kirkcaldy
Geoffrey,Burrows,7/2/1924,Dalry
Natalie,Staples,8/24/1982,Musselburgh
Priscila,Hall,11/7/1902,Aberdeen
Gladys,Savill,4/10/1900,Port Glasgow
Charles,Campion,1846-04-24,Alloa
Frederick,Parker,12/3/1963,Cupar
George,Anstey,4/26/1910,Stonehaven
Patricia,Tranter,8/12/1920,Hamilton
Brian,Mulgrew,9/11/1936,Carluke
Francis,Jackson,1884-02-24,Milngavie
George,Hills,1851-11-11,Newtownards
David,Davids,8/10/1953,Helensburgh
